,code,en_name,ch_name
0,G00,"Bacterial meningitis,not elsewhere classified",細菌性腦膜炎，他處未分類
1,G000,Hemophilus meningitis,嗜血桿菌性腦膜炎
2,G001,Pneumococcal meningitis,肺炎球菌性腦膜炎
3,G002,Streptococcal meningitis,鏈球菌性腦膜炎
4,G003,Staphylococcal meningitis,葡萄球菌性腦膜炎
5,G008,Other bacterial meningitis,其他細菌性腦膜炎
6,G009,"Bacterial meningitis, unspecified",細菌性腦膜炎，未特定
7,G01,Meningitis in bacterial diseases classified elsewhere,細菌性疾病所致之腦膜炎 歸類於它處者
8,G02,Meningitis in other infectious and parasitic diseases classified elsewhere,感染性及寄生蟲疾病所致之腦膜炎 歸類於它處者
9,G03,Meningitis due to other and unspecified causes,其他及未特定原因所致的腦膜炎
10,G030,Nonpyogenic meningitis,非化膿性腦膜炎
11,G031,Chronic meningitis,慢性腦膜炎
12,G032,Benign recurrent meningitis [Mollaret],良性復發性腦膜炎[Mollaret]
13,G038,Meningitis due to other specified causes,其他特定原因所致之腦膜炎
14,G039,"Meningitis, unspecified",腦膜炎，未特定
15,G04,"Encephalitis,myelitis and encephalomyelitis",腦炎、脊髓炎及腦脊髓炎
16,G040,Acute disseminated encephalitis and encephalomyelitis (ADEM),急性散播性腦炎及腦脊髓炎
17,G0400,Postinfectious acute disseminated encephalitis and encephalomyelitis (postinfectious ADEM),感染後急性散播性腦炎及腦脊髓炎(感染後ADEM)
18,G0401,"Postimmunization acute disseminated encephalitis, myelitis and encephalomyelitis","免疫接種後急性散播性腦炎,脊髓炎, 及腦脊髓炎"
19,G041,Tropical spastic paraplegia,熱帶僵直性下半身癱瘓
20,G042,"Bacterial meningoencephalitis and meningomyelitis, not elsewhere classified",細菌性腦膜腦炎及腦膜脊髓炎，他處未歸類者
21,G043,Acute necrotizing hemorrhagic encephalopathy,急性壞死性出血性腦病變
22,G0430,Postinfectious acute necrotizing hemorrhagic encephalopathy,感染後急性壞死性出血性腦病變
23,G0431,Postimmunization acute necrotizing hemorrhagic encephalopathy,免疫接種後急性壞死性出血性腦病變
24,G048,"Other encephalitis,myelitis and encephalomyelitis",其他腦炎、脊髓炎及腦脊髓炎
25,G0481,Other encephalitis and encephalomyelitis,其他腦炎及腦脊髓炎
26,G0489,Other myelitis,其他脊髓炎
27,G049,"Encephalitis myelitis and encephalomyelitis,unspecified",腦炎、脊髓炎及腦脊髓炎
28,G0490,"Encephalitis and encephalomyelitis, unspecified",腦炎及腦脊髓炎，未特定
29,G0491,"Myelitis, unspecified",脊髓炎，未特定
30,G05,"Encephalitis,myelitis and encephalomyelitis in diseases classified elsewhere",歸類於他處疾病所致的腦炎、脊髓炎及腦脊髓炎
31,G053,Encephalitis and encephalomyelitis in diseases classified elsewhere,歸類於他處疾病所致之腦炎及腦脊髓炎
32,G054,Myelitis in diseases classified elsewhere,歸類於他處疾病所致之脊髓炎
33,G06,Intracranial and intraspinal abscess and granuloma,顱內、脊椎管內的膿瘍及肉芽腫
34,G060,Intracranial abscess and granuloma,顱內膿瘍及肉芽腫
35,G061,Intraspinal abscess and granuloma,脊椎管內膿瘍及肉芽腫
36,G062,"Extradural and subdural abscess, unspecified",硬腦膜外及硬膜下膿瘍，未特定
37,G07,Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere,歸類於他處疾病所致之顱內及脊椎管內膿瘍及肉芽腫
38,G08,Intracranial and intraspinal phlebitis and thrombophlebitis,顱內及脊椎管內靜脈炎及血栓靜脈炎
39,G09,Sequelae of inflammatory diseases of central nervous system,中樞神經系統發炎性疾病的後遺症
40,G10,Huntington's disease,亨丁頓舞蹈症
41,G11,Hereditary ataxia,遺傳性共濟失調
42,G110,Congenital nonprogressive ataxia,先天性非進行性共濟失調
43,G111,Early-onset cerebellar ataxia,早發型小腦共濟失調
44,G112,Late-onset cerebellar ataxia,晚發型小腦共濟失調
45,G113,Cerebellar ataxia with defective DNA repair,小腦共濟失調伴有去氧核醣核酸修復缺損
46,G114,Hereditary spastic paraplegia,遺傳性痙攣截癱
47,G118,Other hereditary ataxias,其他遺傳性共濟失調
48,G119,"Hereditary ataxia, unspecified",遺傳性共濟失調，未特定
49,G12,Spinal muscular atrophy and related syndromes,脊髓性肌肉萎縮及相關症候群
50,G120,"Infantile spinal muscular atrophy, type I [Werdnig-Hoffman]","嬰兒型脊髓性肌肉萎縮症, 第I型 [Werdnig-Hoffmann氏病]"
51,G121,Other inherited spinal muscular atrophy,其他遺傳性脊髓性肌肉萎縮症
52,G122,Motor neuron disease,運動神經元疾病
53,G1220,"Motor neuron disease, unspecified",運動神經元疾病，未特定
54,G1221,Amyotrophic lateral sclerosis,肌萎縮性側索硬化症
55,G1222,Progressive bulbar palsy,進行性延髓性麻痺
56,G1229,Other motor neuron disease,其他運動神經元疾病
57,G128,Other spinal muscular atrophies and related syndromes,其他脊髓性肌肉萎縮及相關症候群
58,G129,"Spinal muscular atrophy, unspecified",脊髓性肌肉萎縮症，未特定
59,G13,Systemic atrophies primarily affecting central nervous system in diseases classified elsewhere,歸類於他處疾病所致主要影響中樞神經系統的全身性萎縮症
60,G130,Paraneoplastic neuromyopathy and neuropathy,伴隨腫瘤的神經肌肉病變及神經病變
61,G131,Other systemic atrophy primarily affecting central nervous system in neoplastic disease,腫瘤疾病所致主要影響中樞神經系統的其他全身性萎縮症
62,G138,Systemic atrophy primarily affecting central nervous system in other diseases classified elsewhere,歸類於他處其他疾病所致之主要影響中樞神經系統的全身性萎縮症
63,G14,Postpolio syndrome,小兒麻痺後症候群
64,G20,Parkinson's disease,帕金森氏病
65,G21,Secondary parkinsonism,續發性帕金森氏病
66,G210,Malignant neuroleptic syndrome,惡性抗精神病藥症候群
67,G211,Other drug-induced secondary parkinsonism,其他藥物導致之續發性帕金森症
68,G2111,Neuroleptic induced parkinsonism,抗精神病藥導致之帕金森症
69,G2119,Other drug induced secondary parkinsonism,其他藥物導致之續發性帕金森症
70,G212,Secondary parkinsonism due to other external agents,其他外因所致之續發性帕金森症
71,G213,Postencephalitic parkinsonism,腦炎後帕金森症
72,G214,Vascular parkinsonism,血管性帕金森症
73,G218,Other secondary parkinsonism,其他續發性帕金森症
74,G219,"Secondary parkinsonism, unspecified",續發性帕金森症，未特定
75,G23,Other degenerative diseases of basal ganglia,基底核之其他退化性疾病
