,code,en_name,ch_name
0,V00,Pedestrian conveyance accident,行人運輸工具之意外事故
1,V000,Pedestrian on foot injured in collision with pedestrian conveyance,行人在步行時與行人運輸工具碰撞事故
2,V0001,Pedestrian on foot injured in collision with roller-skater,行人在步行時與溜輪式溜冰鞋者碰撞受傷
3,V0001xA,"Pedestrian on foot injured in collision with roller-skater, initial encounter",行人在步行時與溜輪式溜冰鞋者碰撞受傷之初期照護
4,V0001xD,"Pedestrian on foot injured in collision with roller-skater, subsequent encounter",行人在步行時與溜輪式溜冰鞋者碰撞受傷之後續照護
5,V0001xS,"Pedestrian on foot injured in collision with roller-skater, sequela",行人在步行時與溜輪式溜冰鞋者碰撞受傷之後遺症
6,V0002,Pedestrian on foot injured in collision with skateboarder,行人在步行時與溜滑板者碰撞受傷
7,V0002xA,"Pedestrian on foot injured in collision with skateboarder, initial encounter",行人在步行時與溜滑板者碰撞受傷之初期照護
8,V0002xD,"Pedestrian on foot injured in collision with skateboarder, subsequent encounter",行人在步行時與溜滑板者碰撞受傷之後續照護
9,V0002xS,"Pedestrian on foot injured in collision with skateboarder, sequela",行人在步行時與溜滑板者碰撞受傷之後遺症
10,V0009,"Pedestrian on foot injured in collision with other pedestrian conveyance, initial encounter",行人在步行時與其他行人輸送工具碰撞受傷
11,V0009xA,"Pedestrian on foot injured in collision with other pedestrian conveyance, initial encounter",行人在步行時與其他行人輸送工具碰撞受傷之初期照護
12,V0009xD,"Pedestrian on foot injured in collision with other pedestrian conveyance, subsequent encounter",行人在步行時與其他行人輸送工具碰撞受傷之後續照護
13,V0009xS,"Pedestrian on foot injured in collision with other pedestrian conveyance, sequela",行人在步行時與其他行人輸送工具碰撞受傷之後遺症
14,V001,Rolling-type pedestrian conveyance accident,滾動式行人運輸工具之意外事故
15,V0011,In-line roller-skate accident,直排輪之輪式溜冰鞋意外事故
16,V00111,Fall from in-line roller-skates,從直排輪上跌倒
17,V00111A,"Fall from in-line roller-skates, initial encounter",從直排輪上跌倒之初期照護
18,V00111D,"Fall from in-line roller-skates, subsequent encounter",從直排輪上跌倒之後續照護
19,V00111S,"Fall from in-line roller-skates, sequela",從直排輪上跌倒之後遺症
20,V00112,In-line roller-skater colliding with stationary object,溜直排輪者與靜止物體碰撞
21,V00112A,"In-line roller-skater colliding with stationary object, initial encounter",溜直排輪者與靜止物體碰撞之初期照護
22,V00112D,"In-line roller-skater colliding with stationary object, subsequent encounter",溜直排輪者與靜止物體碰撞之後續照護
23,V00112S,"In-line roller-skater colliding with stationary object, sequela",溜直排輪者與靜止物體碰撞之後遺症
24,V00118,Other in-line roller-skate accident,其他直排輪意外事故
25,V00118A,"Other in-line roller-skate accident, initial encounter",其他直排輪意外事故之初期照護
26,V00118D,"Other in-line roller-skate accident, subsequent encounter",其他直排輪意外事故之後續照護
27,V00118S,"Other in-line roller-skate accident, sequela",其他直排輪意外事故之後遺症
28,V0012,Non-in-line roller-skate accident,非直排輪之輪式溜冰鞋意外事故
29,V00121,Fall from non-in-line roller-skates,從非直排輪之輪式溜冰鞋上跌倒
30,V00121A,"Fall from non-in-line roller-skates, initial encounter",從非直排輪之輪式溜冰鞋上跌倒之初期照護
31,V00121D,"Fall from non-in-line roller-skates, subsequent encounter",從非直排輪之輪式溜冰鞋上跌倒之後續照護
32,V00121S,"Fall from non-in-line roller-skates, sequela",從非直排輪之輪式溜冰鞋上跌倒之後遺症
33,V00122,Non-in-line roller-skater colliding with stationary object,溜非直排輪之輪式溜冰鞋者與靜止物體碰撞
34,V00122A,"Non-in-line roller-skater colliding with stationary object, initial encounter",溜非直排輪之輪式溜冰鞋者與靜止物體碰撞之初期照護
35,V00122D,"Non-in-line roller-skater colliding with stationary object, subsequent encounter",溜非直排輪之輪式溜冰鞋者與靜止物體碰撞之後續照護
36,V00122S,"Non-in-line roller-skater colliding with stationary object, sequela",溜非直排輪之輪式溜冰鞋者與靜止物體碰撞之後遺症
37,V00128,Other non-in-line roller-skating accident,其他非直排輪之輪式溜冰鞋意外事故
38,V00128A,"Other non-in-line roller-skating accident, initial encounter",其他非直排輪之輪式溜冰鞋意外事故之初期照護
39,V00128D,"Other non-in-line roller-skating accident, subsequent encounter",其他非直排輪之輪式溜冰鞋意外事故之後續照護
40,V00128S,"Other non-in-line roller-skating accident, sequela",其他非直排輪之輪式溜冰鞋意外事故之後遺症
41,V0013,Skateboard accidnet,滑板之意外事故
42,V00131,Fall from skateboard,從滑板上跌落
43,V00131A,"Fall from skateboard, initial encounter",從滑板上跌落之初期照護
44,V00131D,"Fall from skateboard, subsequent encounter",從滑板上跌落之後續照護
45,V00131S,"Fall from skateboard, sequela",從滑板跌上落之後遺症
46,V00132,Skateboarder colliding with stationary object,玩滑板者與靜止物體碰撞
47,V00132A,"Skateboarder colliding with stationary object, initial encounter",玩滑板者與靜止物體碰撞之初期照護
48,V00132D,"Skateboarder colliding with stationary object, subsequent encounter",玩滑板者與靜止物體碰撞之後續照護
49,V00132S,"Skateboarder colliding with stationary object, sequela",玩滑板者與靜止物體碰撞之後遺症
50,V00138,Other skateboard accident,其他滑板意外事故
51,V00138A,"Other skateboard accident, initial encounter",其他滑板意外事故之初期照護
52,V00138D,"Other skateboard accident, subsequent encounter",其他滑板意外事故之後續照護
53,V00138S,"Other skateboard accident, sequela",其他滑板意外事故之後遺症
54,V0014,Scooter (nonmotorized) accidnet,踏板車（非機動車）之意外事故
55,V00141,Fall from scooter (nonmotorized),從踏板車（非機動車）上跌落
56,V00141A,"Fall from scooter (nonmotorized), initial encounter",從踏板車（非機動車）上跌落之初期照護
57,V00141D,"Fall from scooter (nonmotorized), subsequent encounter",從踏板車（非機動車）上跌落之後續照護
58,V00141S,"Fall from scooter (nonmotorized), sequela",從踏板車（非機動車）上跌落之後遺症
59,V00142,Scooter (nonmotorized) colliding with stationary object,踏板車（非機動車）與靜止物體碰撞
60,V00142A,"Scooter (nonmotorized) colliding with stationary object, initial encounter",踏板車（非機動車）與靜止物體碰撞之初期照護
61,V00142D,"Scooter (nonmotorized) colliding with stationary object, subsequent encounter",踏板車（非機動車）與靜止物體碰撞碰撞之後續照護
62,V00142S,"Scooter (nonmotorized) colliding with stationary object, sequela",踏板車（非機動車）與靜止物體碰撞之後遺症
63,V00148,Other scooter (nonmotorized) accident,其他踏板車（非機動車）意外事故
64,V00148A,"Other scooter (nonmotorized) accident, initial encounter",其他踏板車（非機動車）意外事故之初期照護
65,V00148D,"Other scooter (nonmotorized) accident, subsequent encounter",其他踏板車（非機動車）意外事故之後續照護
66,V00148S,"Other scooter (nonmotorized) accident, sequela",其他踏板車（非機動車）意外事故之後遺症
67,V0015,Heelies accidnet,暴走鞋之意外事故
68,V00151,Fall from heelies,從暴走鞋上跌落
69,V00151A,"Fall from heelies, initial encounter",從暴走鞋上跌落之初期照護
70,V00151D,"Fall from heelies, subsequent encounter",從 暴走鞋上跌落之後續照護
71,V00151S,"Fall from heelies, sequela",從 暴走鞋上跌落之後遺症
72,V00152,Heelies colliding with stationary object,暴走鞋與靜止物體碰撞
73,V00152A,"Heelies colliding with stationary object, initial encounter",暴走鞋與靜止物體碰撞之初期照護
