,code,en_name,ch_name
0,P00,Newborn (suspected to be) affected by maternal conditions that may be unrelated to present  pregnancy,(懷疑)受母體病況影響之新生兒，此病況可能與本次妊娠無關
1,P000,Newborn (suspected to be) affected by maternal hypertensive disorders,(懷疑)受母體高血壓性疾患影響之新生兒
2,P001,Newborn (suspected to be) affected by maternal renal and urinary tract diseases,(懷疑)受母體腎臟及泌尿道疾病影響之新生兒
3,P002,Newborn (suspected to be) affected by maternal infectious and parasitic diseases,(懷疑)受母體感染及寄生蟲疾病影響之新生兒
4,P003,Newborn (suspected to be) affected by other maternal circulatory and respiratory diseases,(懷疑)受其他母體循環及呼吸性疾病影響之新生兒
5,P004,Newborn (suspected to be) affected by maternal nutritional disorders,(懷疑)受母體營養失調影響之新生兒
6,P005,Newborn (suspected to be) affected by maternal injury,(懷疑)受母體損傷影響之新生兒
7,P006,Newborn (suspected to be) affected by surgical procedure on mother,(懷疑)受母體外科手術處置影響之新生兒
8,P007,"Newborn (suspected to be) affected by other medical procedures on mother, not elsewhere classified",(懷疑)受母體其他醫療處置影響之新生兒，他處未歸類者
9,P008,Newborn (suspected to be) affected by other maternal conditions,(懷疑)其他母體病況影響之新生兒
10,P0081,Newborn (suspected to be) affected by periodontal disease in mother,(懷疑)受母體牙周疾病影響之新生兒
11,P0089,Newborn (suspected to be) affected by other maternal conditions,(懷疑)其他母體病況影響之新生兒
12,P009,Newborn (suspected to be) affected by unspecified maternal condition,(懷疑)受母體非特定病況影響之新生兒
13,P01,Newborn (suspected to be) affected by maternal complications of pregnancy,(懷疑)受母體懷孕併發症所影響之新生兒
14,P010,Newborn (suspected to be) affected by incompetent cervix,(懷疑)受子宮頸機能不全影響之新生兒
15,P011,Newborn (suspected to be) affected by premature rupture of membranes,(懷疑)受早期破水影響之新生兒
16,P012,Newborn (suspected to be) affected by oligohydramnios,(懷疑)受羊水過少症影響之新生兒
17,P013,Newborn (suspected to be) affected by polyhydramnios,(懷疑)受羊水過多症影響之新生兒
18,P014,Newborn (suspected to be) affected by ectopic pregnancy,(懷疑)受子宮外孕影響之新生兒
19,P015,Newborn (suspected to be) affected by multiple pregnancy,(懷疑)受多胎性懷孕影響之新生兒
20,P016,Newborn (suspected to be) affected by maternal death,"字尾加上"",未特定"""
21,P017,Newborn (suspected to be) affected by malpresentation before labor,(懷疑)受分娩前胎位不正影響之新生兒
22,P018,Newborn (suspected to be) affected by other maternal complications of pregnancy,(懷疑)受其他母體懷孕併發症影響之新生兒
23,P019,"Newborn (suspected to be) affected by maternal complication of pregnancy, unspecified",(懷疑)受母體懷孕併發症所影響之新生兒，未特定
24,P02,"Newborn (suspected to be) affected by complications of placenta, cord and membranes",(懷疑)受胎盤、臍帶及胎膜併發症影響之新生兒
25,P020,Newborn (suspected to be) affected by placenta previa,(懷疑)受前置胎盤影響之新生兒
26,P021,Newborn (suspected to be) affected by other forms of placental separation and hemorrhage,(懷疑)受胎盤剝離及出血影響之新生兒
27,P022,Newborn (suspected to be) affected by other and unspecified morphological and functional abnormalities of placenta,(懷疑)受其他和未特定型態及功能異常之胎盤影響之新生兒
28,P0220,Newborn (suspected to be) affected by unspecified morphological and functional abnormalities of placenta,(懷疑)受型態及功能異常之胎盤影響之新生兒
29,P0229,Newborn (suspected to be) affected by other morphological and functional abnormalities of placenta,(懷疑)受其他型態及功能異常胎盤影響之新生兒
30,P023,Newborn (suspected to be) affected by placental transfusion syndromes,(懷疑)受胎盤輸血症候群影響之新生兒
31,P024,Newborn (suspected to be) affected by prolapsed cord,(懷疑)受臍帶脫出影響之新生兒
32,P025,Newborn (suspected to be) affected by other compression of umbilical cord,(懷疑)受臍帶其他壓迫影響之新生兒
33,P026,Newborn (suspected to be) affected by other and unspecified conditions of  umbilical cord,(懷疑)受臍帶其他和未特定病況影響之新生兒
34,P0260,Newborn (suspected to be) affected by unspecified conditions of umbilical cord,(懷疑)受臍帶病況影響之新生兒
35,P0269,Newborn (suspected to be) affected by other conditions of umbilical cord,(懷疑)受臍帶其他病況影響之新生兒
36,P027,Newborn (suspected to be) affected by chorioamnionitis,(懷疑)受絨毛膜羊膜炎影響之新生兒
37,P028,Newborn (suspected to be) affected by other abnormalities of membranes,(懷疑)受胎膜其他異常之新生兒
38,P029,"Newborn (suspected to be) affected by abnormality of membranes, unspecified",(懷疑)受胎膜異常影響之新生兒，未特定
39,P03,Newborn (suspected to be) affected by other compressions of labor and delivery,(懷疑)分娩及生產壓迫影響之新生兒
40,P030,Newborn (suspected to be) affected by breech delivery and extraction,(懷疑)受臀位生產及牽引影響之新生兒
41,P031,"Newborn (suspected to be) affected by other malpresentation, malposition and disproportion during labor and delivery",(懷疑)受分娩及生產時其他先露異常，胎位不正及不成比例影響之新生兒
42,P032,Newborn (suspected to be) affected by forceps delivery,(懷疑)受產鉗生產影響之新生兒
43,P033,Newborn (suspected to be) affected by delivery by vacuum extractor [ventouse],(懷疑)受真空吸引[吸杯]生產影響之新生兒
44,P034,Newborn (suspected to be) affected by Cesarean delivery,(懷疑)受剖腹生產影響之新生兒
45,P035,Newborn (suspected to be) affected by precipitate delivery,(懷疑)受急產影響之新生兒
46,P036,Newborn (suspected to be) affected by abnormal uterine contractions,(懷疑)受子宮收縮異常影響之新生兒
47,P038,Newborn (suspected to be) affected by other specified complications of labor and delivery,(懷疑)分娩及生產其他特定併發症影響之新生兒
48,P0381,Newborn (suspected to be) affected by abnormality in fetal (intrauterine) heart rate or rhythm,(懷疑)胎兒(子宮內)心跳或心律異常影響之新生兒
49,P03810,Newborn (suspected to be) affected by abnormality in fetal (intrauterine) heart rate or rhythm before the onset of labor,(懷疑)受分娩前胎兒(子宮內)心跳或心律異常影響之新生兒
50,P03811,Newborn (suspected to be) affected by abnormality in fetal (intrauterine) heart rate or rhythm during labor,(懷疑)受分娩時胎兒(子宮內)心跳或心律異常影響之新生兒
51,P03819,"Newborn (suspected to be) affected by abnormality in fetal (intrauterine) heart rate or rhythm, unspecified as to time of onset",(懷疑)受未特定發生時間胎兒(子宮內)心跳或心律異常影響之新生兒
52,P0382,Meconium passage during delivery,生產時胎便排出
53,P0389,Newborn (suspected to be) affected by other specified complications of labor and delivery,(懷疑)分娩及生產其他特定併發症影響之新生兒
54,P039,"Newborn (suspected to be) affected by complication of labor and delivery, unspecified",(懷疑)分娩及生產併發症影響之新生兒，未特定
55,P04,Newborn (suspected to be) affected by noxious substances transmitted via placenta or breask milk,(懷疑)受經由胎盤或母乳傳播毒害之新生兒
56,P040,"Newborn (suspected to be) affected by maternal anesthesia and analgesia in pregnancy, labor and delivery",(懷疑)受妊娠、分娩及生產母體麻醉及止痛影響之新生兒
57,P041,Newborn (suspected to be) affected by other maternal medication,(懷疑)受其他母體用藥影響之新生兒
58,P042,Newborn (suspected to be) affected by maternal use of tobacco,(懷疑)受母體使用菸草影響之新生兒
59,P043,Newborn (suspected to be) affected by maternal use of alcohol,(懷疑)受母體使用酒精影響之新生兒
60,P044,Newborn (suspected to be) affected by maternal use of drugs of addiction,(懷疑)受母體使用成癮性藥物影響之新生兒
61,P0441,Newborn (suspected to be) affected by maternal use of cocaine,(懷疑)受母體使用古柯鹼影響之新生兒
62,P0449,Newborn (suspected to be) affected by maternal use of other drugs of addiction,(懷疑)受母體使用其他成癮性藥物影響之新生兒
63,P045,Newborn (suspected to be) affected by maternal use of nutritional chemical substances,(懷疑)受母體使用營養性、化學性物質影響之新生兒
64,P046,Newborn (suspected to be) affected by maternal exposure to environmental chemical substances,(懷疑)受母體暴露於環境中化學性物質影響之新生兒
65,P048,Newborn (suspected to be) affected by other maternal noxious substances,(懷疑)受其他母體有害物質影響之新生兒
66,P049,"Newborn (suspected to be) affected by maternal noxious substance, unspecified",(懷疑)受母體有害物質影響之新生兒，未特定
67,P05,Disorders of newborn related to slow fetal growth and fetal malnutrition,胎兒生長緩慢及胎兒營養不良有關的新生兒疾患
68,P050,Newborn light for gestational age,體重不足之新生兒
69,P0500,"Newborn light for gestational age, unspecified weight","字尾加上"",未特定體重"""
70,P0501,"Newborn light for gestational age, less than 500 grams",體重不足之新生兒，體重低於500克
71,P0502,"Newborn light for gestational age, 500-749 grams",體重不足之新生兒，體重介於500-749克
72,P0503,"Newborn light for gestational age, 750-999 grams",體重不足之新生兒，體重介於750-999克
73,P0504,"Newborn light for gestational age, 1000-1249 grams",體重不足之新生兒，體重介於1000-1249克
74,P0505,"Newborn light for gestational age, 1250-1499 grams",體重不足之新生兒，體重介於1250-1499克
75,P0506,"Newborn light for gestational age, 1500-1749 grams",體重不足之新生兒，體重介於1500-1749克
76,P0507,"Newborn light for gestational age, 1750-1999 grams",體重不足之新生兒，體重介於1750-1999克
77,P0508,"Newborn light for gestational age, 2000-2499 grams",體重不足之新生兒，體重介於2000-2499克
78,P051,Newborn small for gestational age,相對懷孕週數體重過輕之新生兒
79,P0510,"Newborn small for gestational age, unspecified weight","字尾加上"",未特定體重"""
80,P0511,"Newborn small for gestational age, less than 500 grams",相對懷孕週數體重過輕之新生兒，體重低於500克
81,P0512,"Newborn small for gestational age, 500-749 grams",相對懷孕週數體重過輕之新生兒，體重介於500-749克
82,P0513,"Newborn small for gestational age, 750-999 grams",相對懷孕週數體重過輕之新生兒，體重介於750-999克
83,P0514,"Newborn small for gestational age, 1000-1249 grams",相對懷孕週數體重過輕之新生兒，體重介於1000-1249克
84,P0515,"Newborn small for gestational age, 1250-1499 grams",相對懷孕週數體重過輕之新生兒，體重介於1250-1499克
85,P0516,"Newborn small for gestational age, 1500-1749 grams",相對懷孕週數體重過輕之新生兒，體重介於1500-1749克
86,P0517,"Newborn small for gestational age, 1750-1999 grams",相對懷孕週數體重過輕之新生兒，體重介於1750-1999克
87,P0518,"Newborn small for gestational age, 2000-2499 grams",相對懷孕週數體重過輕之新生兒，體重介於2000-2499克
88,P052,Newborn affected by fetal (intrauterine) malnutrition not light or small for gestational age,受胎兒(子宮內)營養不良，非體重不足或身體過小影響之新生兒
