,code,en_name,ch_name
0,H00,Hordeolum and chalazion,麥粒腫及霰粒腫
1,H000,Hordeolum (externum) (internum) of eyelid,眼瞼(外)(內)麥粒腫
2,H0001,Hordeolum externum,眼瞼外麥粒腫
3,H00011,Hordeolum externum right upper eyelid,右側上眼瞼外麥粒腫
4,H00012,Hordeolum externum right lower eyelid,右側下眼瞼外麥粒腫
5,H00013,"Hordeolum externum right eye, unspecified eyelid",右側眼未特定上、下眼瞼外麥粒腫
6,H00014,Hordeolum externum left upper eyelid,左側上眼瞼外麥粒腫
7,H00015,Hordeolum externum left lower eyelid,左側下眼瞼外麥粒腫
8,H00016,"Hordeolum externum left eye, unspecified eyelid",左側眼未特定上、下眼瞼外麥粒腫
9,H00019,"Hordeolum externum unspecified eye, unspecified eyelid",未特定左側、右側眼之眼瞼外麥粒腫，未特定上或下眼瞼
10,H0002,Hordeolum internum,眼瞼內麥粒腫
11,H00021,Hordeolum internum right upper eyelid,右側上眼瞼內麥粒腫
12,H00022,Hordeolum internum right lower eyelid,右側下眼瞼內麥粒腫
13,H00023,"Hordeolum internum right eye, unspecified eyelid",右側眼未特定上、下眼瞼內麥粒腫
14,H00024,Hordeolum internum left upper eyelid,左側上眼瞼內麥粒腫
15,H00025,Hordeolum internum left lower eyelid,左側下眼瞼內麥粒腫
16,H00026,"Hordeolum internum left eye, unspecified eyelid",左側眼未特定上、下眼瞼內麥粒腫
17,H00029,"Hordeolum internum unspecified eye, unspecified eyelid",未特定左側、右側眼及上或下眼瞼內麥粒腫
18,H0003,Abscess of eyelid,眼瞼膿瘍
19,H00031,Abscess of right upper eyelid,右側上眼瞼膿瘍
20,H00032,Abscess of right lower eyelid,右側下眼瞼膿瘍
21,H00033,"Abscess of eyelid right eye, unspecified eyelid",右側眼未特定上、下眼瞼膿瘍
22,H00034,Abscess of left upper eyelid,左側上眼瞼膿瘍
23,H00035,Abscess of left lower eyelid,左側下眼瞼膿瘍
24,H00036,"Abscess of eyelid left eye, unspecified eyelid",左側眼未特定上、下眼瞼膿瘍
25,H00039,"Abscess of eyelid unspecified eye, unspecified eyelid",未特定左側、右側眼瞼及上或下眼瞼膿瘍
26,H001,Chalazion,霰粒腫
27,H0011,Chalazion right upper eyelid,右側上眼瞼霰粒腫
28,H0012,Chalazion right lower eyelid,右側下眼瞼霰粒腫
29,H0013,"Chalazion right eye, unspecified eyelid",右側眼霰粒腫，未特定上或下眼瞼
30,H0014,Chalazion left upper eyelid,左側上眼瞼霰粒腫
31,H0015,Chalazion left lower eyelid,左側下眼瞼霰粒腫
32,H0016,"Chalazion left eye, unspecified eyelid",左側眼霰粒腫，未特定上或下眼瞼
33,H0019,"Chalazion unspecified eye, unspecified eyelid",未特定左側、右側眼及上或下眼瞼霰粒腫
34,H01,Other inflammation of eyelid,眼瞼其他發炎
35,H010,Blepharitis,眼瞼緣炎
36,H0100,Unspecified blepharitis,未特定之眼瞼緣炎
37,H01001,Unspecified blepharitis right upper eyelid,右側上眼瞼緣炎
38,H01002,Unspecified blepharitis right lower eyelid,右側下眼瞼緣炎
39,H01003,"Unspecified blepharitis right eye, unspecified eyelid",右側眼瞼緣炎，未特定上或下眼瞼
40,H01004,Unspecified blepharitis left upper eyelid,左側上眼瞼緣炎
41,H01005,Unspecified blepharitis left lower eyelid,左側下眼瞼緣炎
42,H01006,"Unspecified blepharitis left eye, unspecified eyelid",左側眼瞼緣炎，未特定上或下眼瞼
43,H01009,"Unspecified blepharitis unspecified eye, unspecified eyelid",未特定左側、右側眼及上或下之眼瞼緣炎
44,H0101,Ulcerative blepharitis,潰瘍性眼瞼緣炎
45,H01011,Ulcerative blepharitis right upper eyelid,右側上眼瞼潰瘍性眼瞼緣炎
46,H01012,Ulcerative blepharitis right lower eyelid,右側下眼瞼潰瘍性眼瞼緣炎
47,H01013,"Ulcerative blepharitis right eye, unspecified eyelid",右側眼潰瘍性眼瞼緣炎，未特定上或下眼瞼
48,H01014,Ulcerative blepharitis left upper eyelid,左側上眼瞼潰瘍性眼瞼緣炎
49,H01015,Ulcerative blepharitis left lower eyelid,左側下眼瞼潰瘍性眼瞼緣炎
50,H01016,"Ulcerative blepharitis left eye, unspecified eyelid",左側眼潰瘍性眼瞼緣炎，未特定上或下眼瞼
