,code,en_name,ch_name
0,S98921A,"Partial traumatic amputation of right foot, level unspecified, initial encounter",右側足部未特定部位外傷性部分部份截斷 之初期照護
1,S98921D,"Partial traumatic amputation of right foot, level unspecified, subsequent encounter",右側足部未特定部位外傷性部份截斷 之後續照護
2,S98921S,"Partial traumatic amputation of right foot, level unspecified, sequela",右側足部未特定部位外傷性部份截斷 之後遺症
3,S98922,"Partial traumatic amputation of left foot, level unspecified A",左側足部未特定部位外傷性部份截斷
4,S98922A,"Partial traumatic amputation of left foot, level unspecified, initial encounter",左側足部未特定部位外傷性部份截斷 之初期照護
5,S98922D,"Partial traumatic amputation of left foot, level unspecified, subsequent encounter",左側足部未特定部位外傷性部份截斷 之後續照護
6,S98922S,"Partial traumatic amputation of left foot, level unspecified, sequela",左側足部未特定部位外傷性部份截斷 之後遺症
7,S98929,"Partial traumatic amputation of foot, level unspecified, unspecified side A",未特定側足部未特定部位外傷性部份截斷
8,S98929A,"Partial traumatic amputation of foot, level unspecified, unspecified side, initial encounter",未特定側足部未特定部位外傷性部份截斷 之初期照護
9,S98929D,"Partial traumatic amputation of foot, level unspecified, unspecified side, subsequent encounter",未特定側足部未特定部位外傷性部份截斷之後續照護
10,S98929S,"Partial traumatic amputation of foot, level unspecified, unspecified side, sequela",未特定側足部未特定部位外傷性部份截斷之後遺症
11,S99,Other and unspecified injuries of ankle and foot,踝部和足其他損傷
12,S998,Other specified injuries of ankle and foot,踝部和足其他特定損傷
13,S9981,Other specified injuries of ankle,踝部其他特定損傷
14,S99811,Other specified injuries of right ankle,右踝部其他特定損傷
15,S99811A,"Other specified injuries of right ankle, initial encounter",其他特定右踝損傷之初期照護
16,S99811D,"Other specified injuries of right ankle, subsequent encounter",其他特定右踝損傷之後續照護
17,S99811S,"Other specified injuries of right ankle, sequela",其他特定右踝損傷之後遺症
18,S99812,Other specified injuries of left ankle,左踝部其他特定損傷
19,S99812A,"Other specified injuries of left ankle, initial encounter",其他特定左踝損傷之初期照護
20,S99812D,"Other specified injuries of left ankle, subsequent encounter",其他特定左踝損傷之後續照護
21,S99812S,"Other specified injuries of left ankle, sequela",其他特定左踝損傷之後遺症
22,S99819,"Other specified injuries of ankle, unspecified side",其他特定側踝部其他特定損傷
