,code,en_name,ch_name
0,O00,Ectopic pregnancy,子宮外孕
1,O000,Abdominal pregnancy,腹腔妊娠
2,O001,Tubal pregnancy,輸卵管妊娠
3,O002,Ovarian pregnancy,卵巢妊娠
4,O008,Other ectopic pregnancy,其他子宮外孕
5,O009,"Ectopic pregnancy, unspecified",子宮外孕，未特定
6,O01,Hydatidiform mole,葡萄胎
7,O010,Classical hydatidiform mole,典型(完全)葡萄胎
8,O011,Incomplete and partial hydatidiform mole,不完全及部份葡萄胎
9,O019,"Hydatidiform mole, unspecified",葡萄胎，未特定
10,O02,Other abnormal products of conception,其他異常受孕體
11,O020,Blighted ovum and nonhydatidiform mole,萎縮性胚囊及非葡萄狀胎塊
12,O021,Missed abortion,過期流產（死胎未出）
13,O028,Other specified abnormal products of conception,其他特定受孕體異常
14,O029,"Abnormal product of conception, unspecified",受孕體異常，未特定
15,O03,Spontaneous abortion,自然流產
16,O030,Genital tract and pelvic infection following incomplete spontaneous abortion,不完全流產併發生殖道及骨盆腔感染
17,O031,Delayed or excessive hemorrhage following incomplete spontaneous abortion,不完全流產併發遲延或過量出血
18,O032,Embolism following incomplete spontaneous abortion,不完全流產併發栓塞
19,O033,Other and unspecified complications following incomplete spontaneous abortion,不完全自然流產併發其他及未特定合併症
20,O0330,Unspecified complication following incomplete spontaneous abortion,不完全流產後併發症
21,O0331,Shock following incomplete spontaneous abortion,不完全流產併發休克
22,O0332,Renal failure following incomplete spontaneous abortion,不完全流產併發腎衰竭
23,O0333,Metabolic disorder following incomplete spontaneous abortion,不完全流產併發新陳代謝疾患
24,O0334,Damage to pelvic organs following incomplete spontaneous abortion,不完全流產併發骨盆腔器官損傷
25,O0335,Other venous complications following incomplete spontaneous abortion,不完全流產併發其他靜脈性併發症
26,O0336,Cardiac arrest following incomplete spontaneous abortion,不完全流產併發心臟停止
27,O0337,Sepsis following incomplete spontaneous abortion,不完全流產併發敗血症
28,O0338,Urinary tract infection following incomplete spontaneous abortion,不完全流產併發泌尿道感染
29,O0339,Incomplete spontaneous abortion with other complications,不完全流產併發其他特定之併發症
30,O034,Incomplete spontaneous abortion without complication,不完全流產未伴有併發症
31,O035,Genital tract and pelvic infection following complete or unspecified spontaneous abortion,流產併發生殖道及骨盆腔感染
32,O036,Delayed or excessive hemorrhage following complete or unspecified spontaneous abortion,流產併發遲延或過量出血
33,O037,Embolism following complete or unspecified spontaneous abortion,流產併發栓塞
34,O038,Other and unspecified complications following complete or unspecified spontaneous abortion,完全或未特定自然流產併發其他及未特定合併症
35,O0380,Unspecified complication following complete or unspecified spontaneous abortion,流產伴有併發症
36,O0381,Shock following complete or unspecified spontaneous abortion,流產併發休克
37,O0382,Renal failure following complete or unspecified spontaneous abortion,流產併發腎衰竭
38,O0383,Metabolic disorder following complete or unspecified spontaneous abortion,流產併發新陳代謝疾患
39,O0384,Damage to pelvic organs following complete or unspecified spontaneous abortion,流產併發骨盆腔器官損傷
40,O0385,Other venous complications following complete or unspecified spontaneous abortion,流產併發其他靜脈性併發症
41,O0386,Cardiac arrest following complete or unspecified spontaneous abortion,流產併發心臟停止
42,O0387,Sepsis following complete or unspecified spontaneous abortion,流產併發敗血症
43,O0388,Urinary tract infection following complete or unspecified spontaneous abortion,流產併發泌尿道感染
44,O0389,Complete or unspecified spontaneous abortion with other complications,流產併發其他併發症
45,O039,Complete or unspecified spontaneous abortion without complication,流產未伴有併發症
46,O04,Complications following (induced) termination of pregnancy,終止妊娠伴有合併症
47,O045,Genital tract and pelvic infection following (induced) termination of pregnancy,終止妊娠併發生殖道及骨盆腔感染
48,O046,Delayed or excessive hemorrhage following (induced) termination of pregnancy,終止妊娠併發延遲或過量出血
49,O047,Embolism following (induced) termination of pregnancy,終止妊娠併發栓塞
50,O048,(Induced) termination of pregnancy with other and unspecifird complications,終止妊娠伴有其他及未特定併發症
51,O0480,(Induced) termination of pregnancy with unspecified complications,終止妊娠伴有併發症
52,O0481,Shock following (induced) termination of pregnancy,終止妊娠併發休克
53,O0482,Renal failure following (induced) termination of pregnancy,終止妊娠併發腎衰竭
54,O0483,Metabolic disorder following (induced) termination of pregnancy,終止妊娠併發新陳代謝疾患
55,O0484,Damage to pelvic organs following (induced) termination of pregnancy,終止妊娠併發骨盆腔器官或組織損傷
56,O0485,Other venous complications following (induced) termination of pregnancy,終止妊娠併發其他靜脈性併發症
57,O0486,Cardiac arrest following (induced) termination of pregnancy,終止妊娠併發心臟停止
58,O0487,Sepsis following (induced) termination of pregnancy,終止妊娠併發敗血症
59,O0488,Urinary tract infection following (induced) termination of pregnancy,終止妊娠併發泌尿道感染
60,O0489,(Induced) termination of pregnancy with other complications,終止妊娠併發其他併發症
61,O07,Failed attempted termination of pregnancy,試圖終止妊娠失敗
62,O070,Genital tract and pelvic infection following failed attempted termination of pregnancy,試圖終止妊娠失敗併發生殖道及骨盆腔感染
63,O071,Delayed or excessive hemorrhage following failed attempted termination of pregnancy,試圖終止妊娠失敗併發遲延或過量出血
64,O072,Embolism following failed attempted termination of pregnancy,試圖終止妊娠失敗併發栓塞
65,O073,Failed attempted termination of pregnancy with other and unspecified complications,試圖終止妊娠失敗伴有其他及未特定合併症
66,O0730,Failed attempted termination of pregnancy with unspecified complications,試圖終止妊娠失敗併發併發症
67,O0731,Shock following failed attempted termination of pregnancy,試圖終止妊娠失敗併發休克
68,O0732,Renal failure following failed attempted termination of pregnancy,試圖終止妊娠失敗併發腎衰竭
69,O0733,Metabolic disorder following failed attempted termination of pregnancy,試圖終止妊娠失敗併發新陳代謝疾患
70,O0734,Damage to pelvic organs following failed attempted termination of pregnancy,試圖終止妊娠失敗併發骨盆腔器官損傷
71,O0735,Other venous complications following failed attempted termination of pregnancy,試圖終止妊娠失敗併發其他靜脈性併發症
72,O0736,Cardiac arrest following failed attempted termination of pregnancy,試圖終止妊娠失敗併發心臟停止
73,O0737,Sepsis following failed attempted termination of pregnancy,終止妊娠失敗併發敗血症
74,O0738,Urinary tract infection following failed attempted termination of pregnancy,試圖終止妊娠失敗併發泌尿道感染
75,O0739,Failed attempted termination of pregnancy with other complications,試圖終止妊娠失敗併發其他併發症
76,O074,Failed attempted termination of pregnancy without complication,試圖終止妊娠失敗未伴有併發症
77,O08,Complications following ectopic and molar pregnancy,子宮外孕及葡萄胎後併發症
78,O080,Genital tract and pelvic infection following ectopic and molar pregnancy,子宮外孕及葡萄胎後併發生殖道及骨盆腔感染
79,O081,Delayed or excessive hemorrhage following ectopic and molar pregnancy,子宮外孕及葡萄胎後併發遲延或過量出血
80,O082,Embolism following ectopic and molar pregnancy,子宮外孕及葡萄胎後併發栓塞
81,O083,Shock following ectopic and molar pregnancy,子宮外孕及葡萄胎後併發休克
82,O084,Renal failure following ectopic and molar pregnancy,子宮外孕及葡萄胎後併發腎衰竭
83,O085,Metabolic disorders following an ectopic and molar pregnancy,子宮外孕及葡萄胎後併發新陳代謝疾患
84,O086,Damage to pelvic organs and tissues following an ectopic and molar pregnancy,子宮外孕及葡萄胎後併發骨盆腔器官損傷
85,O087,Other venous complications following an ectopic and molar pregnancy,子宮外孕及葡萄胎後併發其他靜脈性併發症
86,O088,Other complications following an ectopic and molar pregnancy,子宮外孕及葡萄胎後其他併發症
87,O0881,Cardiac arrest following an ectopic and molar pregnancy,子宮外孕及葡萄胎後併發心臟停止
88,O0882,Sepsis following ectopic and molar pregnancy,子宮外孕及葡萄胎後併發敗血症
89,O0883,Urinary tract infection following an ectopic and molar pregnancy,子宮外孕及葡萄胎後併發泌尿道感染
90,O0889,Other complications following an ectopic and molar pregnancy,子宮外孕及葡萄胎後併發其他併發症
91,O089,Unspecified complication following an ectopic and molar pregnancy,子宮外孕及葡萄胎後伴有併發症
92,O09,Supervision of high risk pregnancy,高危險妊娠之監測
93,O090,Supervision of pregnancy with history of infertility,具有不孕病史之妊娠監測
94,O0900,"Supervision of pregnancy with history of infertility, unspecified trimester",具有不孕病史之妊娠監測，未特定妊娠期
95,O0901,"Supervision of pregnancy with history of infertility, first trimester",具有不孕病史之妊娠監測，妊娠第一期
96,O0902,"Supervision of pregnancy with history of infertility, second trimester",具有不孕病史之妊娠監測，妊娠第二期
97,O0903,"Supervision of pregnancy with history of infertility, third trimester",具有不孕病史之妊娠監測，妊娠第三期
98,O091,Supervision of pregnancy with history of ectopic or molar pregnancy,具有子宮外孕及葡萄胎病史之妊娠監測
99,O0910,"Supervision of pregnancy with history of ectopic or molar pregnancy, unspecified trimester",具有子宮外孕及葡萄胎病史之妊娠監測，未特定妊娠期
100,O0911,"Supervision of pregnancy with history of ectopic or molar pregnancy, first trimester",具有子宮外孕及葡萄胎病史之妊娠監測，妊娠第一期
101,O0912,"Supervision of pregnancy with history of ectopic or molar pregnancy, second trimester",具有子宮外孕及葡萄胎病史之妊娠監測，妊娠第二期
102,O0913,"Supervision of pregnancy with history of ectopic or molar pregnancy, third trimester",具有子宮外孕及葡萄胎病史之妊娠監測，妊娠第三期
103,O092,Supervision of pregnancy with other poor reproductive or obstetric history,具有其他不良生殖或產科病史之妊娠監測
104,O0921,Supervision of pregnancy with history of pre-term labor,具有早產病史妊娠監測
105,O09211,"Supervision of pregnancy with history of pre-term labor, first trimester",具有早產病史之妊娠監測，妊娠第一期
106,O09212,"Supervision of pregnancy with history of pre-term labor, second trimester",具有早產病史之妊娠監測，妊娠第二期
107,O09213,"Supervision of pregnancy with history of pre-term labor, third trimester",具有早產病史之妊娠監測，妊娠第三期
108,O09219,"Supervision of pregnancy with history of pre-term labor, unspecified trimester",具有早產病史之妊娠監測，未特定妊娠期
109,O0929,Supervision of pregnancy with other poor reproductive or obstetric history,具有其他不良生殖或產科病史之妊娠監測
110,O09291,"Supervision of pregnancy with other poor reproductive or obstetric history, first trimester",具有其他不良生殖或產科病史之妊娠監測，妊娠第一期
111,O09292,"Supervision of pregnancy with other poor reproductive or obstetric history, second trimester",具有其他不良生殖或產科病史之妊娠監測，妊娠第二期
112,O09293,"Supervision of pregnancy with other poor reproductive or obstetric history, third trimester",具有其他不良生殖或產科病史之妊娠監測，妊娠第三期
113,O09299,"Supervision of pregnancy with other poor reproductive or obstetric history, unspecified trimester",具有其他不良生殖或產科病史之妊娠監測，未特定妊娠期
114,O093,Supervision of pregnancy with insufficient antenatal care,產前照護不足之妊娠監測
115,O0930,"Supervision of pregnancy with insufficient antenatal care, unspecified trimester",產前照護不足之妊娠監測，未特定妊娠期
116,O0931,"Supervision of pregnancy with insufficient antenatal care, first trimester",產前照護不足之妊娠監測，妊娠第一期
117,O0932,"Supervision of pregnancy with insufficient antenatal care, second trimester",產前照護不足之妊娠監測，妊娠第二期
118,O0933,"Supervision of pregnancy with insufficient antenatal care, third trimester",產前照護不足之妊娠監測，妊娠第三期
119,O094,Supervision of pregnancy with grand multiparity,多產婦妊娠監測
120,O0940,"Supervision of pregnancy with grand multiparity, unspecified trimester",多產婦妊娠之監測，未特定妊娠期
121,O0941,"Supervision of pregnancy with grand multiparity, first trimester",多產婦妊娠之監測，妊娠第一期
122,O0942,"Supervision of pregnancy with grand multiparity, second trimester",多產婦妊娠之監測，妊娠第二期
123,O0943,"Supervision of pregnancy with grand multiparity, third trimester",多產婦妊娠之監測，妊娠第三期
124,O095,Supervision of elderly primigravida and multigravida,高齡初產及多產婦妊娠監測
125,O0951,Supervision of elderly primigravida,高齡初產婦妊娠監測
126,O09511,"Supervision of elderly primigravida, first trimester",高齡初產婦妊娠之監測，妊娠第一期
127,O09512,"Supervision of elderly primigravida, second trimester",高齡初產婦妊娠之監測，妊娠第二期
128,O09513,"Supervision of elderly primigravida, third trimester",高齡初產婦妊娠之監測，妊娠第三期
129,O09519,"Supervision of elderly primigravida, unspecified trimester",高齡初產婦妊娠之監測，未特定妊娠期
130,O0952,Supervision of elderly multigravida,高齡多產婦妊娠監測
131,O09521,"Supervision of elderly multigravida, first trimester",高齡多產婦妊娠之監測，妊娠第一期
132,O09522,"Supervision of elderly multigravida, second trimester",高齡多產婦妊娠之監測，妊娠第二期
133,O09523,"Supervision of elderly multigravida, third trimester",高齡多產婦妊娠之監測，妊娠第三期
134,O09529,"Supervision of elderly multigravida, unspecified trimester",高齡多產婦妊娠之監測，未特定妊娠期
135,O096,Supervision of young primigravida and multigravida,年輕初孕婦及經產婦的監測
136,O0961,Supervision of young primigravida,年輕初孕婦的監測
137,O09611,"Supervision of young primigravida, first trimester",年輕初孕婦的監測，妊娠第一期
138,O09612,"Supervision of young primigravida, second trimester",年輕初孕婦的監測，妊娠第二期
139,O09613,"Supervision of young primigravida, third trimester",年輕初孕婦的監測，妊娠第三期
140,O09619,"Supervision of young primigravida, unspecified trimester",年輕初孕婦的監測，未特定妊娠期
141,O0962,Supervision of young multigravida,年輕經產婦的監測
142,O09621,"Supervision of young multigravida, first trimester",年輕經產婦的監測，妊娠第一期
143,O09622,"Supervision of young multigravida, second trimester",年輕經產婦的監測，妊娠第二期
144,O09623,"Supervision of young multigravida, third trimester",年輕經產婦的監測，妊娠第三期
145,O09629,"Supervision of young multigravida, unspecified trimester",年輕經產婦的監測，未特定妊娠期
146,O097,Supervision of high risk pregnancy due to social problems,因社會問題造成高危險妊娠的監測
147,O0970,"Supervision of high risk pregnancy due to social problems, unspecified trimester",因社會問題造成高危險妊娠的監測，未特定妊娠期
148,O0971,"Supervision of high risk pregnancy due to social problems, first trimester",因社會問題造成高危險妊娠的監測，妊娠第一期
149,O0972,"Supervision of high risk pregnancy due to social problems, second trimester",因社會問題造成高危險妊娠的監測，妊娠第二期
150,O0973,"Supervision of high risk pregnancy due to social problems, third trimester",因社會問題造成高危險妊娠的監測，妊娠第三期
151,O098,Supervision of other high risk pregnancies,其他高危險妊娠的監測
152,O0981,Supervision of pregnancy resulting from assisted reproductive technology,生殖技術協助妊娠的監測
153,O09811,"Supervision of pregnancy resulting from assisted reproductive technology, first trimester",生殖技術協助妊娠的監測，妊娠第一期
154,O09812,"Supervision of pregnancy resulting from assisted reproductive technology, second trimester",生殖技術協助妊娠的監測，妊娠第二期
155,O09813,"Supervision of pregnancy resulting from assisted reproductive technology, third trimester",生殖技術協助妊娠的監測，妊娠第三期
156,O09819,"Supervision of pregnancy resulting from assisted reproductive technology, unspecified trimester",生殖技術協助妊娠的監測，未特定妊娠期
157,O0982,Supervision of pregnancy with history of in utero procedure during previous pregnancy,前次妊娠有子宮內處置病史之妊娠監測
158,O09821,"Supervision of pregnancy with history of in utero procedure during previous pregnancy, first trimester",前次妊娠有子宮內處置病史之妊娠監測，妊娠第一期
159,O09822,"Supervision of pregnancy with history of in utero procedure during previous pregnancy, second trimester",前次妊娠有子宮內處置病史之妊娠監測，妊娠第二期
160,O09823,"Supervision of pregnancy with history of in utero procedure during previous pregnancy, third trimester",前次妊娠有子宮內處置病史之妊娠監測，妊娠第三期
161,O09829,"Supervision of pregnancy with history of in utero procedure during previous pregnancy, unspecified trimester",前次妊娠有子宮內處置病史之妊娠監測，未特定妊娠期
162,O0989,Supervision of other high risk pregnancies,其他高危險妊娠的監測
163,O09891,"Supervision of other high risk pregnancies, first trimester",其他高危險妊娠之監測，妊娠第一期
164,O09892,"Supervision of other high risk pregnancies, second trimester",其他高危險妊娠之監測，妊娠第二期
165,O09893,"Supervision of other high risk pregnancies, third trimester",其他高危險妊娠之監測，妊娠第三期
166,O09899,"Supervision of other high risk pregnancies, unspecified trimester",其他高危險妊娠之監測，未特定妊娠期
167,O099,"Supervision of high risk pregnancy, unspecified",未特定高危險妊娠的監測
