,code,en_name,ch_name
0,C00,Malignant neoplasm of lip,唇惡性腫瘤
1,C000,Malignant neoplasm of external upper lip,上唇外側惡性腫瘤
2,C001,Malignant neoplasm of external lower lip,下唇外側惡性腫瘤
3,C002,"Malignant neoplasm of external lip, unspecified",唇外側惡性腫瘤，未特定
4,C003,"Malignant neoplasm of upper lip, inner aspect",上唇內側惡性腫瘤
5,C004,"Malignant neoplasm of lower lip, inner aspect",下唇內側惡性腫瘤
6,C005,"Malignant neoplasm of lip, unspecified, inner aspect",唇內側惡性腫瘤，未特定
7,C006,"Malignant neoplasm of commissure of lip, unspecified",唇連合惡性腫瘤，未特定
8,C008,Malignant neoplasm of overlapping sites of lip,重疊部位性之唇惡性腫瘤
9,C009,"Malignant neoplasm of lip, unspecified",唇惡性腫瘤，未特定
10,C01,Malignant neoplasm of base of tongue,舌基部惡性腫瘤
11,C02,Malignant neoplasm of other and unspecified parts of tongue,其他及未特定部位之舌部惡性腫瘤
12,C020,Malignant neoplasm of dorsal surface of tongue,舌背面惡性腫瘤
13,C021,Malignant neoplasm of border of tongue,舌(邊)緣惡性腫瘤
14,C022,Malignant neoplasm of ventral surface of tongue,舌腹面惡性腫瘤
15,C023,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified",舌前三分之二部位之惡性腫瘤，未特定部位
16,C024,Malignant neoplasm of lingual tonsil,舌扁桃體惡性腫瘤
17,C028,Malignant neoplasm of overlapping sites of tongue,重疊部位性之舌惡性腫瘤
18,C029,"Malignant neoplasm of tongue, unspecified",舌部惡性腫瘤，未特定
19,C03,Malignant neoplasm of gum,齒齦惡性腫瘤
20,C030,Malignant neoplasm of upper gum,上齒齦惡性腫瘤
21,C031,Malignant neoplasm of lower gum,下齒齦惡性腫瘤
22,C039,"Malignant neoplasm of gum, unspecified",齒齦惡性腫瘤，未特定
23,C04,Malignant neoplasm of floor of mouth,口底惡性腫瘤
24,C040,Malignant neoplasm of anterior floor of mouth,口底前部惡性腫瘤
