,code,en_name,ch_name
0,F01,Vascular dementia,血管性失智症
1,F015,Vascular dementia,血管性失智症
2,F0150,Vascular dementia without behavioral disturbance,血管性失智症，無行為障礙
3,F0151,Vascular dementia with behavioral disturbance,血管性失智症，伴有行為障礙
4,F02,Dementia in other diseases classified elsewhere,歸類於他處其他疾病所致之失智症
5,F028,Dementia in other diseases classified elsewhere,歸類於他處其他疾病所致之失智症
6,F0280,"Dementia in other diseases classified elsewhere, without behavioral disturbance",歸類於他處其他疾病所致之失智症，無行為障礙
7,F0281,"Dementia in other diseases classified elsewhere, with behavioral disturbance",歸類於他處其他疾病所致之失智症，伴有行為障礙
8,F03,Unspecified dementia,未特定之失智症
9,F04,Amnestic disorder due to known physiological condition,生理狀況所致之失憶疾患
10,F05,Delirium due to known physiological condition,生理狀況所致之譫妄
11,F06,Other mental disorders due to known physiological condition,生理狀況所致之其他精神疾患
12,F060,Psychotic disorder with hallucinations due to known physiological condition,生理狀況所致伴有幻覺之精神疾患
13,F061,Catatonic disorder due to known physiological condition,生理狀況所致之緊張症
14,F062,Psychotic disorder with delusions due to known physiological condition,生理狀況所致伴有妄想之精神疾患
15,F063,Mood disorder due to known physiological condition,生理狀況所致之情感疾患
16,F0630,"Mood disorder due to known physiological condition, unspecified",生理狀況所致之情感疾患，未特定
17,F0631,Mood disorder due to known physiological condition with depressive features,生理狀況所致伴有憂鬱特徵之情感疾患
18,F0632,Mood disorder due to known physiological condition with major depressive-like episode,生理狀況所致伴有類似重鬱發作之情感疾患
19,F0633,Mood disorder due to known physiological condition with manic features,生理狀況所致伴有躁症特徵之情感疾患
20,F0634,Mood disorder due to known physiological condition with mixed features,生理狀況所致伴有混合特徵之情感疾患
21,F064,Anxiety disorder due to known physiological condition,生理狀況所致之焦慮疾患
22,F068,Other specified mental disorders due to known physiological condition,生理狀況所致之其他特定精神疾患
23,F069,Unspecified mental disorder due to known physiological condition,生理狀況所致之精神疾患
24,F07,Personality and behavioral disorders due to known physiological condition,生理狀況所致之人格與行為疾患
25,F070,Personality change due to known physiological condition,生理狀況所致之人格變化
26,F078,Other personality and behavioral disorders due to known physiological condition,生理狀況所致之其他人格與行為疾患
27,F0781,Postconcussional syndrome,腦震盪後症候群
