,code,en_name,ch_name
0,S60940A,"Unspecified superficial injury of right index finger, initial encounter",右側食指之未特定表淺性損傷之初期照護
1,S60940D,"Unspecified superficial injury of right index finger, subsequent encounter",右側食指之未特定表淺性損傷之後續照護
2,S60940S,"Unspecified superficial injury of right index finger, sequela",右側食指之未特定表淺性損傷之後遺症
3,S60941,Unspecified superficial injury of left index finger,左側食指未明示表淺損傷
4,S60941A,"Unspecified superficial injury of left index finger, initial encounter",左側食指之未特定表淺性損傷之初期照護
5,S60941D,"Unspecified superficial injury of left index finger, subsequent encounter",左側食指之未特定表淺性損傷之後續照護
6,S60941S,"Unspecified superficial injury of left index finger, sequela",左側食指之未特定表淺性損傷之後遺症
7,S60942,Unspecified superficial injury of right middle finger,右側中指未明示表淺損傷
8,S60942A,"Unspecified superficial injury of right middle finger, initial encounter",右側中指之未特定表淺性損傷之初期照護
9,S60942D,"Unspecified superficial injury of right middle finger, subsequent encounter",右側中指之未特定表淺性損傷之後續照護
10,S60942S,"Unspecified superficial injury of right middle finger, sequela",右側中指之未特定表淺性損傷之後遺症
11,S60943,Unspecified superficial injury of left middle finger,左側中指未明示表淺損傷
12,S60943A,"Unspecified superficial injury of left middle finger, initial encounter",左側中指之未特定表淺性損傷之初期照護
13,S60943D,"Unspecified superficial injury of left middle finger, subsequent encounter",左側中指之未特定表淺性損傷之後續照護
14,S60943S,"Unspecified superficial injury of left middle finger, sequela",左側中指之未特定表淺性損傷之後遺症
15,S60944,Unspecified superficial injury of right ring finger,右側無名指未明示表淺損傷
16,S60944A,"Unspecified superficial injury of right ring finger, initial encounter",右側無名指之未特定表淺性損傷之初期照護
17,S60944D,"Unspecified superficial injury of right ring finger, subsequent encounter",右側無名指之未特定表淺性損傷之後續照護
18,S60944S,"Unspecified superficial injury of right ring finger, sequela",右側無名指之未特定表淺性損傷之後遺症
19,S60945,Unspecified superficial injury of left ring finger,左側無名指未明示表淺損傷
20,S60945A,"Unspecified superficial injury of left ring finger, initial encounter",左側無名指之未特定表淺性損傷之初期照護
